Source,Target,Label,Type
23,16,"Edge 23 to 16","Mixed"
23,27,"Edge 23 to 27","Mixed"
23,32,"Edge 23 to 32","Mixed"
23,34,"Edge 23 to 34","Mixed"
23,42,"Edge 23 to 42","Mixed"
23,60,"Edge 23 to 60","Mixed"
23,78,"Edge 23 to 78","Mixed"
23,124,"Edge 23 to 124","Mixed"
24,3,"Edge 24 to 3","Mixed"
24,9,"Edge 24 to 9","Mixed"
24,10,"Edge 24 to 10","Mixed"
24,12,"Edge 24 to 12","Mixed"
24,17,"Edge 24 to 17","Mixed"
24,31,"Edge 24 to 31","Mixed"
24,33,"Edge 24 to 33","Mixed"
24,34,"Edge 24 to 34","Mixed"
24,37,"Edge 24 to 37","Mixed"
24,45,"Edge 24 to 45","Mixed"
24,47,"Edge 24 to 47","Mixed"
24,98,"Edge 24 to 98","Mixed"
24,100,"Edge 24 to 100","Mixed"
24,106,"Edge 24 to 106","Mixed"
24,119,"Edge 24 to 119","Mixed"
24,124,"Edge 24 to 124","Mixed"
25,6,"Edge 25 to 6","Mixed"
25,7,"Edge 25 to 7","Mixed"
25,8,"Edge 25 to 8","Mixed"
25,9,"Edge 25 to 9","Mixed"
25,17,"Edge 25 to 17","Mixed"
25,26,"Edge 25 to 26","Mixed"
25,29,"Edge 25 to 29","Mixed"
25,58,"Edge 25 to 58","Mixed"
25,67,"Edge 25 to 67","Mixed"
25,82,"Edge 25 to 82","Mixed"
25,105,"Edge 25 to 105","Mixed"
26,1,"Edge 26 to 1","Mixed"
26,8,"Edge 26 to 8","Mixed"
26,9,"Edge 26 to 9","Mixed"
26,20,"Edge 26 to 20","Mixed"
26,25,"Edge 26 to 25","Mixed"
26,40,"Edge 26 to 40","Mixed"
26,71,"Edge 26 to 71","Mixed"
26,72,"Edge 26 to 72","Mixed"
26,74,"Edge 26 to 74","Mixed"
26,81,"Edge 26 to 81","Mixed"
27,4,"Edge 27 to 4","Mixed"
27,5,"Edge 27 to 5","Mixed"
27,11,"Edge 27 to 11","Mixed"
27,14,"Edge 27 to 14","Mixed"
27,23,"Edge 27 to 23","Mixed"
27,35,"Edge 27 to 35","Mixed"
27,39,"Edge 27 to 39","Mixed"
27,43,"Edge 27 to 43","Mixed"
27,46,"Edge 27 to 46","Mixed"
27,51,"Edge 27 to 51","Mixed"
27,63,"Edge 27 to 63","Mixed"
27,79,"Edge 27 to 79","Mixed"
27,87,"Edge 27 to 87","Mixed"
27,116,"Edge 27 to 116","Mixed"
27,128,"Edge 27 to 128","Mixed"
28,6,"Edge 28 to 6","Mixed"
28,7,"Edge 28 to 7","Mixed"
28,10,"Edge 28 to 10","Mixed"
28,17,"Edge 28 to 17","Mixed"
28,21,"Edge 28 to 21","Mixed"
28,33,"Edge 28 to 33","Mixed"
28,35,"Edge 28 to 35","Mixed"
28,43,"Edge 28 to 43","Mixed"
28,50,"Edge 28 to 50","Mixed"
28,60,"Edge 28 to 60","Mixed"
28,63,"Edge 28 to 63","Mixed"
28,73,"Edge 28 to 73","Mixed"
28,104,"Edge 28 to 104","Mixed"
28,111,"Edge 28 to 111","Mixed"
28,117,"Edge 28 to 117","Mixed"
28,127,"Edge 28 to 127","Mixed"
29,1,"Edge 29 to 1","Mixed"
29,4,"Edge 29 to 4","Mixed"
29,14,"Edge 29 to 14","Mixed"
29,15,"Edge 29 to 15","Mixed"
29,25,"Edge 29 to 25","Mixed"
29,44,"Edge 29 to 44","Mixed"
29,45,"Edge 29 to 45","Mixed"
29,46,"Edge 29 to 46","Mixed"
29,48,"Edge 29 to 48","Mixed"
29,51,"Edge 29 to 51","Mixed"
29,57,"Edge 29 to 57","Mixed"
29,66,"Edge 29 to 66","Mixed"
29,70,"Edge 29 to 70","Mixed"
29,89,"Edge 29 to 89","Mixed"
29,95,"Edge 29 to 95","Mixed"
29,118,"Edge 29 to 118","Mixed"
29,123,"Edge 29 to 123","Mixed"
29,129,"Edge 29 to 129","Mixed"
30,1,"Edge 30 to 1","Mixed"
30,2,"Edge 30 to 2","Mixed"
30,8,"Edge 30 to 8","Mixed"
30,13,"Edge 30 to 13","Mixed"
30,22,"Edge 30 to 22","Mixed"
30,32,"Edge 30 to 32","Mixed"
30,44,"Edge 30 to 44","Mixed"
30,62,"Edge 30 to 62","Mixed"
30,69,"Edge 30 to 69","Mixed"
30,75,"Edge 30 to 75","Mixed"
30,95,"Edge 30 to 95","Mixed"
30,115,"Edge 30 to 115","Mixed"
30,126,"Edge 30 to 126","Mixed"
30,129,"Edge 30 to 129","Mixed"
31,2,"Edge 31 to 2","Mixed"
31,4,"Edge 31 to 4","Mixed"
31,17,"Edge 31 to 17","Mixed"
31,22,"Edge 31 to 22","Mixed"
31,24,"Edge 31 to 24","Mixed"
31,50,"Edge 31 to 50","Mixed"
31,94,"Edge 31 to 94","Mixed"
32,3,"Edge 32 to 3","Mixed"
32,15,"Edge 32 to 15","Mixed"
32,19,"Edge 32 to 19","Mixed"
32,23,"Edge 32 to 23","Mixed"
32,30,"Edge 32 to 30","Mixed"
32,36,"Edge 32 to 36","Mixed"
32,38,"Edge 32 to 38","Mixed"
32,43,"Edge 32 to 43","Mixed"
32,55,"Edge 32 to 55","Mixed"
32,86,"Edge 32 to 86","Mixed"
32,89,"Edge 32 to 89","Mixed"
32,96,"Edge 32 to 96","Mixed"
32,124,"Edge 32 to 124","Mixed"
33,1,"Edge 33 to 1","Mixed"
33,16,"Edge 33 to 16","Mixed"
33,22,"Edge 33 to 22","Mixed"
33,24,"Edge 33 to 24","Mixed"
33,28,"Edge 33 to 28","Mixed"
33,36,"Edge 33 to 36","Mixed"
33,41,"Edge 33 to 41","Mixed"
33,48,"Edge 33 to 48","Mixed"
33,58,"Edge 33 to 58","Mixed"
33,65,"Edge 33 to 65","Mixed"
33,101,"Edge 33 to 101","Mixed"
34,4,"Edge 34 to 4","Mixed"
34,12,"Edge 34 to 12","Mixed"
34,13,"Edge 34 to 13","Mixed"
34,23,"Edge 34 to 23","Mixed"
34,24,"Edge 34 to 24","Mixed"
34,40,"Edge 34 to 40","Mixed"
34,44,"Edge 34 to 44","Mixed"
34,60,"Edge 34 to 60","Mixed"
